session,participant,order,target,category,lname,nation,religion,caste,ig_caste,q1,q2,q3
A,8,14,14,4,Mulla,Indian,Muslim,OBC,gm,0,1,70
A,8,15,21,6,Sheikh,Foreign,Muslim,N/A,gm,0,1,30
A,8,16,20,5,Dissanayake,Foreign,Hindu,N/A,gm,1,7,95
A,8,17,19,5,Prasanna,Foreign,Hindu,N/A,gm,0,7,95
A,8,18,6,2,Waghmore,Indian,Hindu,OBC,gm,1,1,78
A,8,19,8,2,Pal,Indian,Hindu,OBC,gm,0,1,60
A,8,20,17,5,Gurung,Foreign,Hindu,N/A,gm,1,7,60
A,8,21,2,1,Joshi,Indian,Hindu,GM,gm,1,7,100
A,8,22,1,1,Desai,Indian,Hindu,GM,gm,1,7,100
A,8,23,13,4,Nadaf,Indian,Muslim,OBC,gm,1,1,80
A,8,24,12,3,Harijan,Indian,Hindu,SCST,gm,0,4,92
A,9,1,7,2,Sambrani,Indian,Hindu,OBC,gm,1,4,50
A,9,2,23,6,Akhand,Foreign,Muslim,N/A,gm,0,1,40
A,9,3,18,5,Thapa,Foreign,Hindu,N/A,gm,0,1,30
A,9,4,5,2,Kale,Indian,Hindu,OBC,gm,1,4,20
A,9,5,3,1,Deshpande,Indian,Hindu,GM,gm,1,1,50
A,9,6,22,6,Mir,Foreign,Muslim,N/A,gm,0,1,40
A,9,7,11,3,Wadder,Indian,Hindu,SCST,gm,1,4,40
